year,variable,mean,std,min,q1,median,q3,max
1981,VAR_2T,278.46661376953125,20.900087356567383,197.7262420654297,268.5482177734375,283.17205810546875,296.0406494140625,324.6544189453125
1982,VAR_2T,278.1418762207031,21.32567024230957,190.9613037109375,268.1025390625,282.9215393066406,296.0001220703125,324.0199279785156
1983,VAR_2T,278.2950744628906,21.29194450378418,192.38211059570312,268.2967834472656,283.059814453125,296.160888671875,324.61810302734375
1984,VAR_2T,278.1993408203125,21.176006317138672,193.15585327148438,268.3556213378906,282.9739990234375,296.0108642578125,322.4466247558594
1985,VAR_2T,278.0814208984375,21.282062530517578,193.81919860839844,268.09033203125,282.9715576171875,295.9658203125,323.38262939453125
1986,VAR_2T,278.1260986328125,21.37587547302246,192.64404296875,268.25872802734375,282.947509765625,296.0550842285156,323.96142578125
1987,VAR_2T,278.1094055175781,21.64584732055664,189.4624481201172,267.9188232421875,282.9819030761719,296.28759765625,324.1763000488281
1988,VAR_2T,278.32464599609375,21.236730575561523,193.6977996826172,268.26422119140625,283.0780029296875,296.228759765625,324.70977783203125
1989,VAR_2T,278.1950988769531,21.41365623474121,192.2545623779297,268.6312255859375,283.2132263183594,296.05352783203125,324.64501953125
1990,VAR_2T,278.5630187988281,21.207805633544922,193.20022583007812,269.21142578125,283.3656921386719,296.22711181640625,323.22314453125
1991,VAR_2T,278.4769592285156,21.144569396972656,193.33743286132812,268.89105224609375,283.27337646484375,296.22509765625,323.82513427734375
1992,VAR_2T,278.16009521484375,21.26348876953125,195.38063049316406,268.2852478027344,282.9033508300781,296.0018310546875,323.38519287109375
1993,VAR_2T,278.1123046875,21.576993942260742,191.68589782714844,268.47833251953125,283.04046630859375,296.1446838378906,323.86865234375
1994,VAR_2T,278.1159362792969,21.60084342956543,194.7900390625,268.1627197265625,283.16595458984375,296.1821594238281,322.95037841796875
1995,VAR_2T,278.41131591796875,21.3314208984375,194.07212829589844,268.78521728515625,283.18743896484375,296.22149658203125,323.422119140625
1996,VAR_2T,278.34149169921875,21.171215057373047,194.720703125,268.22784423828125,283.0679931640625,296.16082763671875,324.28228759765625
1997,VAR_2T,278.34735107421875,21.56302261352539,190.95567321777344,268.4833068847656,283.28314208984375,296.33099365234375,323.4014587402344
1998,VAR_2T,278.4803771972656,21.594926834106445,193.51992797851562,268.5778503417969,283.3763427734375,296.5134582519531,325.9771728515625
1999,VAR_2T,278.2929382324219,21.406953811645508,194.3687744140625,268.31768798828125,283.2020263671875,296.24127197265625,324.4891662597656
2000,VAR_2T,278.3160095214844,21.38515281677246,194.25823974609375,268.38519287109375,283.21685791015625,296.22723388671875,325.1933898925781
2001,VAR_2T,278.496337890625,21.33782958984375,192.7715606689453,268.4671630859375,283.3893127441406,296.37908935546875,325.09619140625
